timing,date,pig,transect,meter ,vegtype,coverest,coverclass,plantid,notes,access ,,,,,,,,,,,,,,
A,11/2/18,NP,3,50,invasive vine,0,0,,not as easy 4/10,h,,,,,,,,,,,,,,
B,9/13/18,P ,1,5,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,1,20,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,1,35,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,1,50,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,2,5,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,2,20,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,2,35,moss,0,0,,,h,,,,,,,,,,,,,,
B,9/13/18,P ,2,50,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,5,moss,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,P ,3,20,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,35,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,50,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,5,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,20,moss,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,1,35,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,50,moss,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,5,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,2,20,moss,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,35,moss,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,50,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,3,5,moss,0,37.5,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,3,20,moss,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,3,35,moss,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,3,50,moss,0,0,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,1,5,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,1,20,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,1,35,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,1,50,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,2,5,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,2,20,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,2,35,moss,0,0,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,2,50,moss,0,0,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,3,5,moss,0,0,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,3,20,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,3,35,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,3,50,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,1,5,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,1,20,moss,0,0,,,h,,,,,,,,,,,,,,
A,11/2/18,NP,1,35,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,1,50,moss,0,0,,,h,,,,,,,,,,,,,,
A,11/2/18,NP,2,5,moss,0,,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,2,20,moss,0,0,,,h,,,,,,,,,,,,,,
A,11/2/18,NP,2,35,moss,0,0,,,h,,,,,,,,,,,,,,
A,11/2/18,NP,2,50,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,3,5,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,3,20,moss,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,3,35,moss,0,0,,,h,,,,,,,,,,,,,,
A,11/2/18,NP,3,50,moss,0,0,,,h,,,,,,,,,,,,,,
B,9/13/18,P ,1,5,native shrub,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,1,20,native shrub,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,1,35,native shrub,35,37.5,"snowberry, poison oak",,e,,,,,,,,,,,,,,
B,9/13/18,P ,1,50,native shrub,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,2,5,native shrub,85,85,"snowberry, Indian-plum",,e,,,,,,,,,,,,,,
B,9/13/18,P ,2,20,native shrub,30,37.5,snowberry,,e,,,,,,,,,,,,,,
B,9/13/18,P ,2,35,native shrub,85,85,Indian-plum,,h,,,,,,,,,,,,,,
B,9/13/18,P ,2,50,native shrub,3,2.5,snowberry,,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,5,native shrub,80,85,"snowberry, Indian-plum",,h,,,,,,,,,,,,,,
B,9/14/18,P ,3,20,native shrub,30,37.5,"snowberry, Indian-plum",,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,35,native shrub,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,50,native shrub,20,15,Oregon white oak,,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,5,native shrub,85,85,"Indian-plum, snowberry",,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,20,native shrub,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,1,35,native shrub,5,2.5,indian-plum,,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,50,native shrub,30,37.5,"snowberry, Indian-plum",,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,5,native shrub,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,2,20,native shrub,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,35,native shrub,1,2.5,"snowberry, indian-plum",gorund+canopy,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,50,native shrub,18,15,"indian-plum, snowberry",,e,,,,,,,,,,,,,,
B,9/14/18,NP,3,5,native shrub,15,15,indian-plum,,e,,,,,,,,,,,,,,
